,ts_code,trade_date,close,open,high,low,change,vol,amount
9,300159.SZ,20180731,8.14,7.07,8.71,6.55,1.06,296582972.0,2241147037.18
10,300159.SZ,20180629,7.08,8.34,8.58,6.11,-1.28,306836110.0,2292866638.29
11,300159.SZ,20180531,8.36,9.54,10.45,8.05,-1.18,295285669.0,2841437912.49
12,300159.SZ,20180427,9.54,10.26,10.66,8.85,-0.63,375849236.0,3655144310.74
13,300159.SZ,20180330,10.17,9.36,10.18,8.42,-0.23,380031325.0,3528011340.83
0,000738.SZ,20190430,14.18,15.68,16.53,13.92,-1.39,201958988.0,3140718942.99
1,000738.SZ,20190329,15.57,14.54,17.49,14.2,1.05,404929837.0,6330140561.23
2,000738.SZ,20190228,14.52,12.24,15.07,12.24,2.36,168112302.0,2324039254.49
3,000738.SZ,20190131,12.16,12.11,13.64,11.94,0.1,136268222.0,1756370519.51
4,000738.SZ,20181228,12.06,12.59,12.91,11.88,-0.08,77254041.0,958560912.73
5,000738.SZ,20181130,12.14,12.37,13.31,11.94,-0.15,128820181.0,1632286446.63
6,000738.SZ,20181031,12.29,13.5,13.76,11.25,-1.46,98545829.0,1202404204.52
7,000738.SZ,20180928,13.75,13.54,14.52,13.3,0.3,159219379.0,2227024637.03
8,000738.SZ,20180831,13.45,14.92,14.99,12.97,-1.36,144668583.0,1987265272.65
9,000738.SZ,20180731,14.81,13.21,15.91,13.21,1.51,412466371.0,6177539564.77
10,000738.SZ,20180629,13.33,13.9,14.99,11.68,-0.69,137410788.0,1840737163.79
11,000738.SZ,20180531,14.02,14.48,15.75,13.9,-0.56,159085896.0,2392150542.43
12,000738.SZ,20180427,14.58,16.72,17.82,14.42,-2.19,347227186.0,5715840185.36
13,000738.SZ,20180330,16.77,15.29,17.96,14.66,1.58,749231187.0,12149546476.5
14,000738.SZ,20180228,15.19,13.78,15.19,11.03,1.45,139667478.0,1808765592.71
15,000738.SZ,20180131,13.74,15.29,15.88,13.72,-1.55,113394641.0,1670792868.57
0,600316.SH,20190430,15.13,16.6,19.1,14.82,-1.38,407857645.0,7001773671.0
1,600316.SH,20190329,16.51,13.27,17.56,12.86,3.38,615040051.0,9199022363.0
2,600316.SH,20190228,13.13,10.1,14.03,10.08,3.05,272604252.0,3418236232.0
3,600316.SH,20190131,10.08,9.97,11.35,9.87,0.19,180823246.0,1927607094.0
4,600316.SH,20181228,9.89,10.8,11.27,9.54,-0.75,153321138.0,1604400857.0
5,600316.SH,20181130,10.64,8.34,12.26,8.24,2.35,300326853.0,3208963874.0
6,600316.SH,20181031,8.29,9.25,9.35,7.5,-1.09,72045712.0,594977899.0
7,600316.SH,20180928,9.38,9.01,9.83,8.93,0.36,125387159.0,1187383983.0
8,600316.SH,20180831,9.02,9.75,9.84,8.71,-0.73,82565113.0,751478378.0
9,600316.SH,20180731,9.75,9.3,10.05,9.03,0.43,134964881.0,1295104433.0
10,600316.SH,20180629,9.32,10.49,10.78,8.51,-1.24,133511630.0,1294768859.0
11,600316.SH,20180531,10.56,12.36,12.64,10.44,-1.87,126967352.0,1497508996.0
12,600316.SH,20180427,12.43,13.47,14.58,11.74,-1.17,245226104.0,3253557960.0
13,600316.SH,20180330,13.6,11.45,14.32,11.45,1.89,308002236.0,4019792797.0
14,600316.SH,20180228,11.71,13.02,13.14,10.09,-1.31,87368728.0,990516157.0
